No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Classic Elegant,Serif + Sans,Playfair Display,Inter,"elegant, luxury, sophisticated, premium, editorial","Luxury brands, fashion, spa, editorial",https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Playfair+Display:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');","fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] }",High contrast between elegant heading and clean body.
2,Modern Professional,Sans + Sans,Poppins,Open Sans,"modern, professional, clean, corporate, friendly","SaaS, corporate sites, business apps, startups",https://fonts.google.com/share?selection.family=Open+Sans:wght@300;400;500;600;700|Poppins:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }",Geometric Poppins for headings humanist Open Sans for readability.
3,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,"tech, startup, modern, innovative, bold","Tech companies, startups, SaaS, developer tools",https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700|Space+Grotesk:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }",Space Grotesk unique character DM Sans highly readable.
4,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,"editorial, classic, literary, traditional, refined","Publishing, blogs, news sites, literary magazines",https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Libre+Baskerville:wght@400;700,"@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');","fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] }",All-serif pairing for traditional editorial feel.
5,Minimal Swiss,Sans + Sans,Inter,Inter,"minimal, clean, functional, neutral, professional","Dashboards, admin panels, documentation, design systems",https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Inter', 'sans-serif'] }",Single font family with weight variations. Ultimate simplicity.
6,Playful Creative,Display + Sans,Fredoka,Nunito,"playful, friendly, fun, creative, warm","Children's apps, educational, gaming, entertainment",https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Fredoka', 'sans-serif'], body: ['Nunito', 'sans-serif'] }",Rounded friendly fonts perfect for playful UIs.
7,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,"bold, impactful, strong, dramatic, headlines","Marketing sites, portfolios, agencies, sports",https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');","fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Bebas Neue for large headlines only. All-caps display font.
8,Wellness Calm,Serif + Sans,Lora,Raleway,"calm, wellness, health, relaxing, natural, organic","Health apps, wellness, spa, meditation, yoga",https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Raleway:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Raleway:wght@300;400;500;600;700&display=swap');","fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] }",Lora's organic curves with Raleway's elegant simplicity.
9,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,"code, developer, technical, precise, functional","Developer tools, documentation, code editors, CLI apps",https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');","fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }",JetBrains for code IBM Plex for UI. Developer-focused.
10,Retro Vintage,Display + Serif,Abril Fatface,Merriweather,"retro, vintage, nostalgic, dramatic, bold","Vintage brands, breweries, restaurants, portfolios",https://fonts.google.com/share?selection.family=Abril+Fatface|Merriweather:wght@300;400;700,"@import url('https://fonts.googleapis.com/css2?family=Abril+Fatface&family=Merriweather:wght@300;400;700&display=swap');","fontFamily: { display: ['Abril Fatface', 'serif'], body: ['Merriweather', 'serif'] }",Abril Fatface for hero headlines only. High-impact vintage feel.
11,Geometric Modern,Sans + Sans,Outfit,Work Sans,"geometric, modern, clean, balanced, contemporary","General purpose, portfolios, agencies, modern brands",https://fonts.google.com/share?selection.family=Outfit:wght@300;400;500;600;700|Work+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@300;400;500;600;700&family=Work+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }",Both geometric but Outfit more distinctive for headings.
12,Luxury Serif,Serif + Sans,Cormorant,Montserrat,"luxury, high-end, fashion, elegant, refined, premium","Fashion brands, luxury e-commerce, jewelry",https://fonts.google.com/share?selection.family=Cormorant:wght@400;500;600;700|Montserrat:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Cormorant:wght@400;500;600;700&family=Montserrat:wght@300;400;500;600;700&display=swap');","fontFamily: { serif: ['Cormorant', 'serif'], sans: ['Montserrat', 'sans-serif'] }",Cormorant's elegance with Montserrat's geometric precision.
13,Friendly SaaS,Sans + Sans,Plus Jakarta Sans,Plus Jakarta Sans,"friendly, modern, saas, clean, approachable","SaaS products, web apps, dashboards, productivity",https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",Single versatile font. Modern alternative to Inter.
14,News Editorial,Serif + Sans,Newsreader,Roboto,"news, editorial, journalism, trustworthy, readable","News sites, blogs, magazines, journalism",https://fonts.google.com/share?selection.family=Newsreader:wght@400;500;600;700|Roboto:wght@300;400;500;700,"@import url('https://fonts.googleapis.com/css2?family=Newsreader:wght@400;500;600;700&family=Roboto:wght@300;400;500;700&display=swap');","fontFamily: { serif: ['Newsreader', 'serif'], sans: ['Roboto', 'sans-serif'] }",Newsreader designed for long-form reading. Roboto for UI.
15,Corporate Trust,Sans + Sans,Lexend,Source Sans 3,"corporate, trustworthy, accessible, readable, professional","Enterprise, government, healthcare, finance",https://fonts.google.com/share?selection.family=Lexend:wght@300;400;500;600;700|Source+Sans+3:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Lexend:wght@300;400;500;600;700&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Lexend', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Lexend designed for readability. Excellent accessibility.
16,Brutalist Raw,Mono + Mono,Space Mono,Space Mono,"brutalist, raw, technical, monospace, stark","Brutalist designs, developer portfolios, experimental",https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700,"@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&display=swap');","fontFamily: { mono: ['Space Mono', 'monospace'] }",All-mono for raw brutalist aesthetic.
17,Fashion Forward,Sans + Sans,Syne,Manrope,"fashion, avant-garde, creative, bold, artistic","Fashion brands, creative agencies, art galleries",https://fonts.google.com/share?selection.family=Manrope:wght@300;400;500;600;700|Syne:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Manrope:wght@300;400;500;600;700&family=Syne:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Syne', 'sans-serif'], body: ['Manrope', 'sans-serif'] }",Syne's unique character for headlines. Manrope for readability.
18,Soft Rounded,Sans + Sans,Varela Round,Nunito Sans,"soft, rounded, friendly, approachable, warm","Children's products, pet apps, wellness, soft UI",https://fonts.google.com/share?selection.family=Nunito+Sans:wght@300;400;500;600;700|Varela+Round,"@import url('https://fonts.googleapis.com/css2?family=Nunito+Sans:wght@300;400;500;600;700&family=Varela+Round&display=swap');","fontFamily: { heading: ['Varela Round', 'sans-serif'], body: ['Nunito Sans', 'sans-serif'] }",Both rounded and friendly. Perfect for soft UI designs.
