No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
1,Hero + Features + CTA,"hero, features, cta","1. Hero with headline, 2. Value prop, 3. Key features (3-5), 4. CTA section, 5. Footer",Hero (sticky) + Bottom,"Hero: Brand primary. Features: Card bg #FAFAFA. CTA: Contrasting accent","Hero parallax, feature card hover lift, CTA glow on hover",Deep CTA placement. Use contrasting color (7:1 contrast ratio). Sticky navbar CTA.
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, trust, reviews","1. Hero, 2. Problem statement, 3. Solution overview, 4. Testimonials carousel, 5. CTA",Hero (sticky) + Post-testimonials,"Hero: Brand color. Testimonials: Light bg #F5F5F5. CTA: Vibrant","Testimonial carousel slide, quote mark animations, avatar fade-in",Social proof before CTA. Use 3-5 testimonials. Include photo + name + role.
3,Product Demo + Features,"demo, product-demo, features, showcase","1. Hero, 2. Product video/mockup, 3. Feature breakdown, 4. Comparison, 5. CTA",Video center + CTA right/bottom,"Video surround: Brand color overlay. Features: Icon #0080FF","Video play button pulse, feature scroll reveals, demo highlights",Embedded product demo increases engagement. Auto-play video muted.
4,Minimal Single Column,"minimal, simple, direct, single-column, clean","1. Hero headline, 2. Short description, 3. Benefit bullets (3 max), 4. CTA, 5. Footer",Center large CTA button,"Minimalist: Brand + white + accent. Buttons: High contrast 7:1+","Minimal hover effects. CTA scale on hover (subtle)",Single CTA focus. Large typography. Lots of whitespace.
5,Funnel (3-Step Conversion),"funnel, conversion, steps, wizard, onboarding","1. Hero, 2. Step 1 (problem), 3. Step 2 (solution), 4. Step 3 (action), 5. CTA",Each step: mini-CTA. Final: main CTA,"Step colors: 1 (Red/Problem), 2 (Orange/Process), 3 (Green/Solution)","Step number animations, progress bar fill, smooth scroll",Progressive disclosure. Show only essential info per step.
6,Comparison Table + CTA,"comparison, table, compare, versus","1. Hero, 2. Problem intro, 3. Comparison table, 4. Pricing, 5. CTA",Table: Right column. CTA: Below table,"Table: Alternating rows. Your product: Highlight #FFFACD or green","Table row hover highlight, price toggle, checkmark animations",Use comparison to show unique value. Highlight your product row.
7,Lead Magnet + Form,"lead, form, signup, capture, email, magnet","1. Hero (benefit headline), 2. Lead magnet preview, 3. Form (minimal fields), 4. CTA submit",Form CTA: Submit button,"Lead magnet: Professional design. Form: Clean white. Inputs: Light border","Form focus animations, input validation, success confirmation",Form fields <= 3 for best conversion. Offer valuable lead magnet preview.
8,Pricing Page + CTA,"pricing, plans, tiers, comparison","1. Hero, 2. Price comparison cards, 3. Feature comparison table, 4. FAQ, 5. Final CTA",Each card: CTA button. Sticky nav CTA,"Free: Grey, Starter: Blue, Pro: Green/Gold, Enterprise: Dark","Price toggle monthly/yearly, card hover lift, FAQ accordion",Recommend starter plan. Show annual discount (20-30%). Use FAQs.
9,Video-First Hero,"video, hero, media, visual, engaging","1. Hero with video background, 2. Key features overlay, 3. Benefits, 4. CTA",Overlay on video + Bottom section,"Dark overlay 60% on video. Brand accent for CTA. White text on dark.","Video autoplay muted, parallax scroll, text fade-in",86% higher engagement with video. Add captions. Compress video.
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story, immersive","1. Intro hook, 2. Chapter 1 (problem), 3. Chapter 2 (journey), 4. Chapter 3 (solution), 5. Climax CTA",End of each chapter + Final climax CTA,Progressive reveal. Each chapter distinct color. Building intensity.,"ScrollTrigger animations, parallax layers, chapter transitions",Narrative increases time-on-page 3x. Use progress indicator.
11,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic","1. Dynamic hero, 2. Relevant features, 3. Tailored testimonials, 4. Smart CTA",Context-aware based on user segment,Adaptive based on user data. A/B test color variations.,"Dynamic content swap, fade transitions, personalized recommendations",20%+ conversion with personalization. Requires analytics integration.
12,Waitlist/Coming Soon,"waitlist, coming-soon, launch, early-access","1. Hero with countdown, 2. Product teaser, 3. Email capture form, 4. Social proof",Email form prominent (above fold) + Sticky scroll,"Anticipation: Dark + accent. Countdown in brand color. Urgency indicators.","Countdown timer, email validation, success confetti, social share",Scarcity + exclusivity. Show waitlist count. Early access benefits.
13,Comparison Table Focus,"comparison, table, versus, compare, features","1. Hero, 2. Comparison matrix, 3. Feature deep-dive, 4. Winner CTA",After comparison table + Bottom,"Your product highlighted (accent bg or green). Competitors neutral.","Table row hover, feature checkmark, sticky comparison header",Show value vs competitors. 35% higher conversion.
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription","1. Hero, 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky nav + Bottom,"Popular plan: brand color border. Free: grey. Enterprise: dark.","Price toggle animation, card hover lift, FAQ accordion",Annual discount 20-30%. Recommend mid-tier. Address objections in FAQ.
15,App Store Style Landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features, 4. Reviews, 5. Download CTAs",Download buttons prominent (App Store + Play Store),"Dark/light matching app store. Star ratings in gold. Device frames.","Device mockup rotations, screenshot slider, star rating animations",Show real screenshots. Include ratings (4.5+ stars). QR code for mobile.
16,FAQ/Documentation Landing,"faq, documentation, help, support, questions","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact CTA",Search bar prominent + Contact CTA,"Clean, high readability. Category icons in brand color. Success green.","Search autocomplete, smooth accordion, category hover",Reduce support tickets. Track search analytics. Show related articles.
17,Immersive/Interactive Experience,"immersive, interactive, experience, 3d, animation","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits, 4. CTA",After interaction complete + Skip option,"Immersive colors. Dark background for focus. Highlight interactive elements.","WebGL, 3D interactions, gamification, progress indicators",40% higher engagement. Performance trade-off. Provide skip option.
18,Event/Conference Landing,"event, conference, meetup, registration, schedule","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,"Urgency colors (countdown). Event branding. Speaker cards professional.","Countdown timer, speaker hover cards, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof. Speaker credibility.
19,Product Review/Ratings Focused,"reviews, ratings, testimonials, social-proof, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,"Trust colors. Star ratings gold. Verified badge green.","Star fill animations, review filtering, helpful vote, photo lightbox",User-generated content builds trust. Show verified purchases.
20,Community/Forum Landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,"Warm, welcoming. Member photos. Topic badges in brand colors.","Member avatars animation, activity feed, topic hover previews",Show active community (member count, posts today). Highlight benefits.
21,Before-After Transformation,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,"Contrast: muted/grey (before) vs vibrant/colorful (after). Success green.","Slider comparison, before/after reveal, result counters, testimonial videos",Visual proof of value. 45% higher conversion. Real results.
